"","Thermophilic","Freshwater_habitat","Nonfreshwater_habitat","Akinetes","Heterocysts","Nitrogen_fixation","Morphology","Habit","Freeliving","Mats","Epi_Endolithic","Epiphytic","Periphytic","Motility","Hormogonia","Gas_vesicles","False_Branching","True_Branching","Fission_in_multiple_planes","Uniseriate_trichome","Multiseriate_trichomes","Baeocytes","Extracellular_sheath","Mucilage","celldiam_mean","Pelagic"
"Acaryochloris.marina.MBIC11017","0",0,"1",0,0,"0","0","1","0","0","0","0","0","0","0","0",0,0,0,0,"0",0,"1","1",0,0
"Acaryochloris.sp.CCMEE5410","0",0,"1",0,0,"0","0","1","0","0","1","0","0","0","0","0",0,0,0,0,"0",0,"1","1",0,0
"Anabaena.cylindrica.PCC7122","0",1,"0",1,1,"1","1","0","1","0","0","0","0","1","0","0",0,0,0,1,"1",0,"0","1",1,0
"Anabaena.sp.PCC7108","0",1,"0",1,1,"1","1","1","0","1","1","1","0","1","0","0",0,0,0,1,"1",0,"0","1",1,0
"Anabaena.variabilis.ATCC29413","0",1,"0",1,1,"1","1","1","0","1","1","1","0","1","0","1",0,0,0,1,"1",0,"0","1",1,0
"Arthrospira.maxima.CS.328","0",0,"1",0,0,"0","1","0","1","0","0","0","0","1","1","1",0,0,0,1,"1",0,"0","0",1,1
"Arthrospira.platensis.str.Paraca","0",0,"0",0,0,"0","1","1",NA,NA,NA,NA,NA,"1","1","1",0,0,0,1,"1",0,"0","0",1,0
"Arthrospira.sp.PCC8005","0",0,"1",0,0,"0","1","0","1","0","0","0","0","1","1","1",0,0,0,1,"1",0,"0","0",1,1
"Calothrix.sp.PCC6303","0",1,"0",0,1,"1","1","1","0","0","1","1","0","1","1","0",1,0,0,1,"1",0,"0","0",NA,0
"Calothrix.sp.PCC7103","0",1,"0",0,1,"1","1","1","0","0","1","1","0","1","1","0",1,0,0,1,"1",0,"0","0",1,0
"Calothrix.sp.PCC7507","0",1,"0",1,1,"1","1","1","0","0","1","1","0","1","1","0",1,0,0,1,"1",0,"0","0",1,0
"Chamaesiphon.minutus.PCC6605","0",1,"0",0,0,"0","0","1","0","0","1","1","0","0","0","0",0,0,0,0,"0",0,"1","0",0,0
"Chlorogloeopsis.fritschii.PCC6912","1",1,"0",1,1,"1","0","1","1","0","0","0","0","1","1","0",0,0,1,1,"1",0,"1","1",0,0
"Chlorogloeopsis.sp.PCC9212","1",1,"0",1,1,"1","0","1","1","0","0","0","0","1","1","0",0,0,1,1,"1",0,"1","1",NA,0
"Chroococcidiopsis.thermalis.PCC7203","0",1,"0",0,0,"1","0","1","0","0","1","0","1","0","0","0",0,0,1,0,"0",1,"1","1",1,0
"Crinalium.epipsammum.PCC9333","0",1,"0",0,0,"0","1","1","0","0","1","0","0","0","0","0",0,0,0,0,"0",0,"0","0",0,0
"Crocosphaera.watsonii.WH0003","0",0,"1",0,0,"1","0","0","1","0","0","0","0","0","0","0",0,0,0,0,"0",0,"0","1",1,1
"Crocosphaera.watsonii.WH8501","0",0,"1",0,0,"1","0","0","1","0","0","0","0","0","0","0",0,0,0,0,"0",0,"0","0",0,1
"Cyanobacterium.aponinum.PCC10605","0",1,NA,0,0,NA,"0","1","0","1","0","0","0","0","0","0",0,0,0,0,"0",0,"1","1",0,0
"Cyanobacterium.stanieri.PCC7202","0",1,NA,0,0,"0","0","0","1","0","0","0","0","0","0","0",0,0,0,0,"0",0,"0","0",0,NA
"Cyanobacterium.UCYN.A","0",0,"1",0,0,"1","0","1","0","0","0","1","0",NA,"0",NA,0,0,0,0,"0",0,NA,NA,0,0
"Cyanobium.gracile.PCC6307","0",1,"0",0,0,"0","0","0","1","0","0","0","0","0","0","0",0,0,0,0,"0",0,"0","0",0,0
"Cyanobium.sp.PCC7001","0",1,NA,0,0,"0","0","0",NA,NA,NA,NA,NA,"0","0","0",0,0,0,0,"0",0,"0","0",0,NA
"Cyanothece.sp.ATCC51142","0",0,"1",0,0,"1","0","0","1","0","0","0","0","0","0","0",0,0,0,0,"0",0,"0","1",1,1
"Cyanothece.sp.ATCC51472","0",0,"1",0,0,"1","0","0","1","0","0","0","0","0","0","0",0,0,0,0,"0",0,"0","0",1,1
"Cyanothece.sp.CCY0110","0",0,"1",0,0,"1","0","0","1","0","0","0","0",NA,"0",NA,0,0,0,0,"0",0,"0","1",NA,1
"Cyanothece.sp.PCC7424","0",1,"0",0,0,"1","0","0","1","0","0","0","0","0","0","0",0,0,0,0,"0",0,"0","1",1,0
"Cyanothece.sp.PCC7425","0",1,"0",0,0,"1","0","0","1","0","0","0","0","0","0","0",0,0,0,0,"0",0,"0","1",1,0
"Cyanothece.sp.PCC7822","0",1,"0",0,0,"1","0","0","1","0","0","0","0","0","0","0",0,0,0,0,"0",0,"0","1",1,0
"Cyanothece.sp.PCC8801","0",1,"0",0,0,"1","0","0","1","0","0","0","0","0","0","0",0,0,0,0,"0",0,"0","0",0,0
"Cyanothece.sp.PCC8802","0",1,"0",0,0,"1","0","0","1","0","0","0","0","0","0","0",0,0,0,0,"0",0,"0","1",0,0
"Cylindrospermopsis.raciborskii.CS.505","0",1,"0",1,1,"1","1","0","1","0","0","0","0","0","0","1",0,0,0,1,"1",0,"0","0",0,0
"Cylindrospermum.stagnale.PCC7417","0",0,"0",1,1,"1","1","1","0","0","0","0","1","1","0","0",0,0,0,1,"1",0,"0","1",0,0
"Dactylococcopsis.salina.PCC8305","0",0,"1",0,0,"0","0","0","1","0","0","0","0","0","0","1",0,0,0,0,"0",0,"0","0",1,1
"Fischerella.muscicola.PCC73103","1",1,"0",1,1,"1","1","1","0","0","1","1","0","1","1","0",1,1,1,1,"1",0,"0","1",1,0
"Fischerella.muscicola.PCC7414","1",1,"0",1,1,"1","1","1","0","0","1","1","0","1","1","0",1,1,1,1,"1",0,"0","1",1,0
"Fischerella.sp.JSC.11","1",1,"0",1,1,"1","1","1","0","0","1","1","0","1","1",NA,1,1,1,1,"1",0,"0","1",NA,0
"Fischerella.sp.PCC9339","0",1,"0",1,1,"1","1","1","0","0","1","1","0","1","1","0",1,1,1,1,"1",0,"0","1",NA,0
"Fischerella.thermalis.PCC7521","1",1,"0",1,1,"1","1","1","0","0","1","1","0","1","1","0",1,1,1,1,"1",0,"0","1",1,0
"Geitlerinema.sp.PCC7105","0",0,"1",0,0,"0","1","1","0","1","0","1","0","1","1","0",0,0,0,1,"1",0,"0","1",0,0
"Geitlerinema.sp.PCC7407","0",1,NA,0,0,"0","1","1","0","1","0","1","0","1","1","0",0,0,0,1,"1",0,"0","1",0,0
"Geminocystis.herdmanii.PCC6308","0",1,"0",0,0,"0","0","0","1","0","0","0","0","0","0","0",0,0,1,0,"0",0,"0","1",1,0
"Gloeobacter.violaceus.PCC7421","0",1,"0",0,0,"0","0","1","0","0","1","0","0","0","0","0",0,0,0,0,"0",0,"1","1",0,0
"Gloeocapsa.sp.PCC73106","0",1,"0",0,0,"0","0","1","0","0","1","1","0","1","0","0",0,0,1,0,"0",0,"1","1",1,0
"Gloeocapsa.sp.PCC7428","0",1,NA,0,0,"0","0","1","0","0","1","1","0","0","0","0",0,0,1,0,"0",0,"1","1",0,0
"Halothece.sp.PCC7418","0",0,"1",0,0,NA,"0","1","0","1","0","0","0","0","0","1",0,0,0,0,"0",0,"0","0",1,0
"Leptolyngbya.sp.PCC6406","0",1,"0",0,0,"1","1","1","0","0","1","1","1","1","1","1",0,0,0,1,"1",0,"1","0",0,0
"Leptolyngbya.sp.PCC7375","0",0,"1",0,0,NA,"1","1","0","0","1","1","1","0","1","0",0,1,0,1,"1",0,NA,"0",NA,0
"Leptolyngbya.sp.PCC7376","0",0,"1",0,0,NA,"1","0","0","0","1","1","1","0","1","0",0,0,0,1,"1",0,"1","0",0,1
"Lyngbya.sp.PCC8106","0",0,NA,0,0,"1","1","1","0","1","0","0","0","1","1","0",0,0,0,1,"1",0,"1","0",1,0
"Mastigocladopsis.repens.PCC10914","0",1,"0",0,1,"1","1","1","0","0","1","0","0","1","0","0",0,1,1,1,"1",0,"1","0",NA,0
"Microchaete.sp.PCC7126","0",1,"0",1,1,"1","1","1","0","0","1","1","1","1","1","0",1,0,0,1,"1",0,"1","0",NA,0
"Microcoleus.chthonoplastes.PCC7420","0",0,"1",0,0,"0","1","1","0","0","1","1","1","1","1","0",0,0,0,0,"1",0,"1","1",1,0
"Microcoleus.sp.PCC7113","0",1,"0",0,0,"1","1","1","0","0","1","1","1","1","1","0",0,0,0,0,"1",0,"1","1",1,0
"Microcoleus.vaginatus.FGP.2","0",1,"0",0,0,"1","1","1","0","0","1","1","1","1","1","0",0,0,0,0,"1",0,"1","1",1,0
"Microcystis.aeruginosa.NIES.843","0",1,"0",0,0,"0","0","0","1","0","0","0","0","0","0","1",0,0,1,0,"0",0,"0","1",1,0
"Microcystis.aeruginosa.PCC7806","0",1,"0",0,0,"0","0","0","1","0","0","0","0","0","0","1",0,0,1,0,"0",0,"0","1",0,0
"Microcystis.aeruginosa.PCC7941","0",1,"0",0,0,"0","0","0","1","0","0","0","0",NA,"0","1",0,0,1,0,"0",0,"0","1",1,0
"Microcystis.aeruginosa.PCC9432","0",1,"0",0,0,"0","0","0","1","0","0","0","0",NA,"0","1",0,0,1,0,"0",0,"0","1",1,0
"Microcystis.aeruginosa.PCC9443","0",1,"0",0,0,"0","0","0","1","0","0","0","0",NA,"0","1",0,0,1,0,"0",0,"0","1",1,0
"Microcystis.aeruginosa.PCC9701","0",1,"0",0,0,"0","0","0","1","0","0","0","0",NA,"0","1",0,0,1,0,"0",0,"0","1",1,0
"Microcystis.aeruginosa.PCC9717","0",1,"0",0,0,"0","0","0","1","0","0","0","0",NA,"0","1",0,0,1,0,"0",0,"0","1",1,0
"Microcystis.aeruginosa.PCC9806","0",1,"0",0,0,"0","0","0","1","0","0","0","0",NA,"0","1",0,0,1,0,"0",0,"0","1",1,0
"Microcystis.aeruginosa.PCC9807","0",1,"0",0,0,"0","0","0","1","0","0","0","0",NA,"0","1",0,0,1,0,"0",0,"0","1",1,0
"Microcystis.aeruginosa.PCC9808","0",1,"0",0,0,"0","0","0","1","0","0","0","0",NA,"0","1",0,0,1,0,"0",0,"0","1",1,0
"Microcystis.aeruginosa.PCC9809","0",1,"0",0,0,"0","0","0","1","0","0","0","0",NA,"0","1",0,0,1,0,"0",0,"0","1",1,0
"Microcystis.sp.T1.4","0",1,"0",0,0,"0","0","0","1","0","0","0","0",NA,"0","1",0,0,1,0,"0",0,"0","1",1,0
"Moorea.producta.3L","0",0,"1",0,0,"0","1","1","0","1","1","0","0","1","1","0",0,0,0,1,"1",0,"1","1",1,0
"Nodosilinea.nodulosa.PCC7104","0",1,NA,0,0,"1","1","1","0","0","1","0","0","1","1","0",1,0,0,1,"1",0,"1","0",0,0
"Nodularia.spumigena.CCY9414","0",0,"0",1,1,"1","1","0","1","0","0","0","0","1","1","1",0,0,0,1,"1",0,"1","0",1,0
"Nostoc.azollae.0708","0",1,"0",1,1,"1","1","1","0","0","0","0","0","1","1",NA,0,0,0,1,"1",0,"1","1",NA,0
"Nostoc.punctiforme.PCC73102","0",1,"0",1,1,"1","1","1","0","0","1","1","0","1","1","1",0,0,0,1,"1",0,"1","1",1,0
"Nostoc.sp.PCC7107","0",1,"0",1,1,"1","1","1","0","0","1","1","0","1","1","1",0,0,0,1,"1",0,"1","1",NA,0
"Nostoc.sp.PCC7120","0",1,"0",1,1,"1","1","1","0","0","1","1","0","0","1","1",0,0,0,1,"1",0,"1","1",0,0
"Nostoc.sp.PCC7524","0",1,"0",1,1,"1","1","1","0","0","1","1","0","1","1","0",0,0,0,1,"1",0,"1","1",NA,0
"Oscillatoria.acuminata.PCC6304","0",1,"0",0,0,"0","1","1","0","1","1","1","0","1","1",NA,0,0,0,1,"1",0,"1","0",1,0
"Oscillatoria.formosa.PCC6407","0",1,"0",0,0,"1","1","1","0","1","1","1","0","1","1",NA,0,0,0,1,"1",0,"1","0",1,0
"Oscillatoria.nigro.viridis.PCC7112","0",1,"0",0,0,"0","1","1","0","1","1","1","0","1","1",NA,0,0,0,1,"1",0,"1","0",1,0
"Oscillatoria.sp.PCC10802",NA,1,"0",0,0,"0","1","1","0","1","1","1","0","1","1",NA,0,0,0,1,"1",0,"1","0",NA,0
"Oscillatoria.sp.PCC6506","0",1,"0",0,0,"1","1","1","0","1","1","1","0","1","1","1",0,0,0,1,"1",0,"1","0",1,0
"Oscillatoriales.cyanobacterium.JSC.12",NA,1,"0",0,0,NA,"1","1","0","1","0","0","0",NA,NA,NA,0,0,0,1,"1",0,"1",NA,NA,0
"Pleurocapsa.sp.PCC7319","0",0,"1",0,0,"0","0","1","0","0","1","0","0","1","0","0",0,1,1,1,"1",1,"0","0",1,0
"Pleurocapsa.sp.PCC7327","1",1,"0",0,0,"1","0","1","0","0","1","0","0","1","0","0",0,0,1,1,"1",1,NA,"0",1,0
"Prochlorococcus.marinus.str.AS9601","0",0,"1",0,0,"0","0","0","1","0","0","0","0","0","0","0",0,0,0,0,"0",0,"0","0",0,1
"Prochlorococcus.marinus.str.MIT9202","0",0,"1",0,0,"0","0","0","1","0","0","0","0","0","0","0",0,0,0,0,"0",0,"0","0",0,1
"Prochlorococcus.marinus.str.MIT9211","0",0,"1",0,0,"0","0","0","1","0","0","0","0","0","0","0",0,0,0,0,"0",0,"0","0",0,1
"Prochlorococcus.marinus.str.MIT9215","0",0,"1",0,0,"0","0","0","1","0","0","0","0","0","0","0",0,0,0,0,"0",0,"0","0",0,1
"Prochlorococcus.marinus.str.MIT9301","0",0,"1",0,0,"0","0","0","1","0","0","0","0","0","0","0",0,0,0,0,"0",0,"0","0",0,1
"Prochlorococcus.marinus.str.MIT9303","0",0,"1",0,0,"0","0","0","1","0","0","0","0","0","0","0",0,0,0,0,"0",0,"0","0",0,1
"Prochlorococcus.marinus.str.MIT9312","0",0,"1",0,0,"0","0","0","1","0","0","0","0","0","0","0",0,0,0,0,"0",0,"0","0",0,1
"Prochlorococcus.marinus.str.MIT9313","0",0,"1",0,0,"0","0","0","1","0","0","0","0","0","0","0",0,0,0,0,"0",0,"0","0",0,1
"Prochlorococcus.marinus.str.MIT9515","0",0,"1",0,0,"0","0","0","1","0","0","0","0","0","0","0",0,0,0,0,"0",0,"0","0",0,1
"Prochlorococcus.marinus.str.NATL1A","0",0,"1",0,0,"0","0","0","1","0","0","0","0","0","0","0",0,0,0,0,"0",0,"0","0",0,1
"Prochlorococcus.marinus.str.NATL2A","0",0,"1",0,0,"0","0","0","1","0","0","0","0","0","0","0",0,0,0,0,"0",0,"0","0",0,1
"Prochlorococcus.marinus.subsp.marinus.str.CCMP1375","0",0,"1",0,0,"0","0","0","1","0","0","0","0","0","0","0",0,0,0,0,"0",0,"0","0",0,1
"Prochlorococcus.marinus.subsp.pastoris.str.CCMP1986","0",0,"1",0,0,"0","0","0","1","0","0","0","0","0","0","0",0,0,0,0,"0",0,"0","0",0,1
"Prochloron.didemni","0",0,"1",0,0,NA,"0","1","0","0","0","0","0","0","0","0",0,0,0,0,"0",0,"1","0",1,0
"Prochlorothrix.hollandica.PCC9006","0",1,"0",0,0,"0","1","0","1","0","0","0","0","0","0","1",0,0,0,1,"1",0,"0","0",0,0
"Pseudanabaena.biceps.PCC7429","0",1,"0",0,0,"0","1","1",NA,NA,NA,NA,NA,"1","0","1",0,0,0,1,"1",0,"0","1",0,0
"Pseudanabaena.sp.PCC6802","0",1,"0",0,0,"1","1","1",NA,NA,NA,NA,NA,"0","0","1",0,0,0,1,"1",0,"0","1",0,0
"Pseudanabaena.sp.PCC7367","0",0,"1",0,0,"0","1","1","0","0","0","0","0","1","0","1",0,0,0,1,"1",0,"0","1",0,0
"Raphidiopsis.brookii.D9","0",1,"0",1,0,"0","1","0","1","0","0","0","0","0","0","1",0,0,0,1,"1",0,"0","1",1,0
"Rivularia.sp.PCC7116","0",0,"1",0,1,"1","1","1","0","0","1","1","1","1","1","0",1,0,0,1,"1",0,"1","1",1,0
"Spirulina.sp.PCC9445","0",0,"0",0,0,"0","1","1","0","0","0","0","1","1","1","0",0,0,0,1,"1",0,"1","0",0,0
"Stanieria.cyanosphaera.PCC7437","0",1,"0",0,0,"0","0","1","0","0","0","0","1","1","0","0",0,0,1,0,"0",1,"1","1",1,0
"Synechococcus.elongatus.PCC6301","0",1,"0",0,0,"0","0",NA,NA,NA,NA,NA,NA,"0","0","0",0,0,0,0,"0",0,"0","0",0,0
"Synechococcus.elongatus.PCC7942","0",1,"0",0,0,NA,"0",NA,NA,NA,NA,NA,NA,"0","0","0",0,0,0,0,"0",0,"0","0",0,0
"Synechococcus.sp.BL107","0",0,"1",0,0,NA,"0","0","1","0","0","0","0",NA,"0",NA,0,0,0,0,"0",0,"0","0",0,1
"Synechococcus.sp.CB0101","0",1,NA,0,0,NA,"0","0","1","0","0","0","0","1","0",NA,0,0,0,0,"0",0,"0","0",0,NA
"Synechococcus.sp.CB0205","0",1,NA,0,0,NA,"0","0","1","0","0","0","0","1","0",NA,0,0,0,0,"0",0,"0","0",0,NA
"Synechococcus.sp.CC9311","0",0,"1",0,0,NA,"0","0","1","0","0","0","0",NA,"0",NA,0,0,0,0,"0",0,"0","0",0,1
"Synechococcus.sp.CC9605","0",0,"1",0,0,NA,"0","0","1","0","0","0","0",NA,"0",NA,0,0,0,0,"0",0,"0","0",0,1
"Synechococcus.sp.CC9902","0",0,"1",0,0,NA,"0","0","1","0","0","0","0",NA,"0",NA,0,0,0,0,"0",0,"0","0",0,1
"Synechococcus.sp.JA.2.3Bprime.a.2.13","1",1,"0",0,0,NA,"0","1","0","1","0","0","0",NA,"0","0",0,0,0,0,"0",0,"0","0",0,0
"Synechococcus.sp.JA.3.3Ab","1",1,"0",0,0,NA,"0","1","0","1","0","0","0",NA,"0","0",0,0,0,0,"0",0,"0","0",0,0
"Synechococcus.sp.PCC6312","0",1,"0",0,0,"0","0",NA,NA,NA,NA,NA,NA,"0","0","0",0,0,0,0,"0",0,"0","0",0,0
"Synechococcus.sp.PCC7002","0",1,NA,0,0,"0","0",NA,NA,NA,NA,NA,NA,"0","0","0",0,0,0,0,"0",0,"0","0",0,NA
"Synechococcus.sp.PCC7335","0",0,"1",0,0,"1","0",NA,NA,NA,NA,NA,NA,"0","0","0",0,0,0,0,"0",0,"0","0",0,NA
"Synechococcus.sp.PCC7336","0",0,"1",0,0,NA,"0",NA,NA,NA,NA,NA,NA,NA,"0","0",0,0,0,0,"0",0,"0","0",0,NA
"Synechococcus.sp.PCC7502","0",1,"0",0,0,"0","0",NA,NA,NA,NA,NA,NA,"0","0","0",0,0,0,0,"0",0,"0","0",0,0
"Synechococcus.sp.RCC307","0",0,"1",0,0,NA,"0","0","1","0","0","0","0",NA,"0",NA,0,0,0,0,"0",0,"0","0",0,1
"Synechococcus.sp.RS9916","0",0,"1",0,0,NA,"0","0","1","0","0","0","0",NA,"0",NA,0,0,0,0,"0",0,"0","0",0,1
"Synechococcus.sp.RS9917","0",1,NA,0,0,NA,"0","0","1","0","0","0","0",NA,"0",NA,0,0,0,0,"0",0,"0","0",0,NA
"Synechococcus.sp.WH5701","0",1,NA,0,0,NA,"0","0","1","0","0","0","0","0","0",NA,0,0,0,0,"0",0,"0","0",0,NA
"Synechococcus.sp.WH7803","0",0,"1",0,0,NA,"0","0","1","0","0","0","0","0","0",NA,0,0,0,0,"0",0,"0","0",0,1
"Synechococcus.sp.WH7805","0",0,"1",0,0,NA,"0","0","1","0","0","0","0","0","0",NA,0,0,0,0,"0",0,"0","0",0,1
"Synechococcus.sp.WH8016","0",0,"1",0,0,NA,"0",NA,NA,NA,NA,NA,NA,NA,"0",NA,0,0,0,0,"0",0,"0","0",0,NA
"Synechococcus.sp.WH8102","0",0,"1",0,0,NA,"0","0","1","0","0","0","0","0","0",NA,0,0,0,0,"0",0,"0","0",0,1
"Synechococcus.sp.WH8109","0",0,"1",0,0,NA,"0","0","1","0","0","0","0",NA,"0",NA,0,0,0,0,"0",0,"0","0",0,1
"Synechocystis.sp.PCC6803","0",1,NA,0,0,"0","0","0","1","0","0","0","0","1","0","0",0,0,1,0,"0",0,"0","1",0,NA
"Synechocystis.sp.PCC7509","0",1,"0",0,0,"0","0","0","1","0","0","0","0","0","0","0",0,0,1,0,"0",0,"0","1",0,0
"Thermosynechococcus.elongatus.BP.1","1",1,NA,0,0,NA,"0",NA,NA,NA,NA,NA,NA,"0","0","0",0,0,0,0,"0",0,"0","0",0,NA
"Trichodesmium.erythraeum.IMS101","0",0,"1",0,0,"1","1","0",NA,NA,NA,NA,NA,"1","1","1",0,0,0,1,"1",0,"0","1",1,1
"Xenococcus.sp.PCC7305","0",0,"1",0,0,"1","0","1","0","0","1","1","0","0","0","0",0,0,1,0,"0",1,"1","1",1,0
