Species,Poll
H_paludigena_Flynn_4110_AF,0
H_narinensis_Kress_903095,1
H_fragilis_Kress_903080,0
H_harlingii_Kress_892906,0
H_fredberryana_Kress_892947,1
H_spiralis_Kress_892631_AF,1
H_arrecta_Kress_903157,1
H_mucilagina_Kress_892578_AF,1
H_gigantea_Kress_892621_AF,0
H_fernandezii_Kress_892559_AF,0
H_griggsiana_Kress_892938,0
H_pastazae_Kress_892896,1
H_pastazae_Kress_965731,1
H_abaloi_Kress_903125,0
H_platystachys_Kress_118794,0
H_pastazae_Kress_903116,1
H_donstonea_Kress_892931,1
H_terciopela_Kress_903133,1
H_holmquistiana_Kress_892586_AF,1
H_xanthovillosa_Montgomery_sn,1
H_atratensis_Kress_903142,1
H_stellamaris_Kress_903127_AF,1
H_nigripraefixa_Kress_892907,0
H_sp_Specht_0805,0
H_danielsiana_Kress_108734A,1
H_pogonantha_var_holerythra_Kress_108749,1
H_pogonantha_Kress_892834,1
H_magnifica_Carli_142B,1
H_ramonensis_Specht_0808,1
H_regalis_Kress_892928,1
H_lutheri_Kress_892925_AF,1
H_curtispatha_Kress_903078,1
H_rhodantha_Kress_903164,1
H_titanum_Kress_903168,0
H_combinata_Betancur_5953_AF,0
H_rigida_Kress_913384,0
H_longa_Kress_913381,1
H_mariae_Kress_892843,0
H_stilesii_Kress_892721,1
H_curtispatha_Kress_892812,1
H_signahispanica_Betancur_5960_AF,0
H_venusta_Montgomery_87962_AF,0
H_pardoi_Kress_892922,0
H_aemygdiana_ssp_aemygdiana_Kress_892863,0
H_aemygdiana_ssp_aemygdiana_Kress_965706,0
H_aemygdiana_ssp_transandina_Kress_892939,0
H_lingulata_Lyon_L82048,0
H_gloriosa_Collins_96203,0
H_zebrina_Lyon_L850195_AF,0
H_pseudoaemygdiana_Kress_945383,0
H_penduloides_Kress_sn,0
H_subulata_Kress_880694,0
H_standleyi_Lyon_L800094_AF,1
H_vellerigera_Kress_965678,1
H_peteriana_Kress_892886_AF,1
H_juruana_Kress_913308,1
H_chartacea_Kress_965689,0
H_rostrata_Kress_892860,1
H_plowmania_Kress_943677,0
H_waoraniana_Kress_965694_AF,0
H_x_rauliniana_Abalo_sn_AF_B,0
H_marginata_Kress_913314,0
H_episcopalis_Kress_913309,0