taxon,uniqueStudyTips,uniqueOTLTips,commonTips
Aeridinae,138,1458,49
Allium,57,920,84
Alocasia,26,59,70
Alpinia,361,294,0
Araceae,1410,3746,371
Arecaceae,1100,2656,318
Arundinarieae,53,592,92
Bambuseae,12,979,100
Basidiomycota,1931,86337,4403
Bromeliaceae,154,3643,303
Bryophyta,7053,13794,477
Buxaceae,92,144,0
Catasetinae,0,421,0
Chloraeinae,63,68,30
Chloroplastida,7256,0,0
Chusquea,38,155,74
Cocoseae,6,422,46
Coelogyne,10,215,0
Costaceae,1726,112,77
Cranichidinae,72,289,21
Cyclanthaceae,93,267,1
Cyclanthaceae,93,267,1
Cyperaceae,798,6247,837
Dactylorhiza,4,118,9
Dioscorea,286,0,0
Epidendreae,59,7742,132
Epidendroideae,740,0,0
Erythronium,0,34,0
Gagea,1,217,47
Halodule,0,8,0
Heliconiaceae,0,231,0
Iridaceae,390,2665,243
Juncaginaceae,425,46,0
Liliaceae,1864,910,181
Lilium,0,201,0
Lymania,0,9,0
Magnoliophyta,7359,0,0
Marantaceae,369,0,0
Muhlenbergiinae,6,138,65
Narcissus,16,189,26
Orchidaceae,228,30610,696
Oryza,7505,17,22
Oryzeae,7546,68,39
Pandanaceae,6,1083,0
Pandanales,243,1782,4
Paniceae,206,1607,260
Paniceae,206,1607,260
Panicoideae,423,3604,522
Paspalum,197,396,34
Piptochaetium,0,39,0
Poaceae,6585,12827,2212
Poaceae,6585,12827,2212
Poaephyllum,0,7,0
Poales,5984,25133,4208
Pontederiaceae,0,33,14
Potamogetonaceae,19,266,10
prasinophytes,996,0,0
Pucciniales,221,9474,67
Schoenocaulon,6,3,27
Stipeae,19,559,88
Strelitziaceae,25,19,7
Typha,668,45,1
Typhonium,33,0,0
Zannichellia,9,11,1
Zingiberales,666,0,0